date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:48	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2009%20Jun%202021%2010:30:47%20GMT	https://diadam.de/robots.txt		(from )
16:00:49	71429/71429	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2010:30:49%20GMT	https://diadam.de/	diadam.de/index.html	(from )
16:00:50	5430/5430	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2028%20May%202020%2012:25:20%20GMT	https://diadam.de/wp-content/themes/diadam/dist/images/favicon.ico	diadam.de/wp-content/themes/diadam/dist/images/favicon.ico	(from https://diadam.de/)
16:00:51	2081/2081	---MC-	200	added ('OK')	application/rss+xml	etag:%22f2428ab02c06376a2943fdf35362f169%22	https://diadam.de/feed/	diadam.de/feed/index.html	(from https://diadam.de/)
16:00:51	53593/53593	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jun%202020%2008:23:13%20GMT	https://diadam.de/wp-includes/css/dist/block-library/style.min.css?ver=5.4.6	diadam.de/wp-includes/css/dist/block-library/style.min03e2.css	(from https://diadam.de/)
16:00:52	1746/1746	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jun%202020%2008:18:16%20GMT	https://diadam.de/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.9	diadam.de/wp-content/plugins/contact-form-7/includes/css/styles38c6.css	(from https://diadam.de/)
16:00:53	178907/178907	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jun%202020%2008:34:36%20GMT	https://diadam.de/wp-content/themes/diadam/style.css?ver=5.4.6	diadam.de/wp-content/themes/diadam/style03e2.css	(from https://diadam.de/)
16:00:54	34136/34136	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Apr%202020%2006:31:06%20GMT	https://diadam.de/wp-content/cache/borlabs-cookie/borlabs-cookie_1_de.css?ver=2.1.15-5	diadam.de/wp-content/cache/borlabs-cookie/borlabs-cookie_1_de5818.css	(from https://diadam.de/)
16:00:55	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2007:10:48%20GMT	https://diadam.de/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	diadam.de/wp-includes/js/jquery/jquery4a5f.js	(from https://diadam.de/)
16:00:56	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Jan%202017%2014:27:48%20GMT	https://diadam.de/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	diadam.de/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://diadam.de/)
16:00:58	768/768	---MC-	200	added ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2010:30:57%20GMT	https://diadam.de/xmlrpc.php?rsd	diadam.de/xmlrpc0db0.php	(from https://diadam.de/)
16:00:59	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2009%20Jun%202021%2010:30:59%20GMT	https://diadam.de/wp-includes/wlwmanifest.xml	diadam.de/wp-includes/wlwmanifest.xml	(from https://diadam.de/)
16:00:59	91047/91047	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2010:30:58%20GMT	https://diadam.de/wp-json/	diadam.de/wp-json/index.html	(from https://diadam.de/)
16:00:59	2662/2662	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2010:30:59%20GMT	https://diadam.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdiadam.de%2F	diadam.de/wp-json/oembed/1.0/embedc533.json	(from https://diadam.de/)
16:01:01	2808/2808	---MC-	200	added ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2010:31:00%20GMT	https://diadam.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdiadam.de%2F&format=xml	diadam.de/wp-json/oembed/1.0/embeddd61	(from https://diadam.de/)
16:01:02	270980/270980	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2009:48:41%20GMT	https://diadam.de/wp-content/uploads/2016/10/Startseite_headerbild_diadam_verlauf_2-3.jpg	diadam.de/wp-content/uploads/2016/10/Startseite_headerbild_diadam_verlauf_2-3.jpg	(from https://diadam.de/)
16:01:02	5081/5081	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2028%20May%202020%2012:25:21%20GMT	https://diadam.de/wp-content/themes/diadam/dist/images/logo_home.svg	diadam.de/wp-content/themes/diadam/dist/images/logo_home.svg	(from https://diadam.de/)
16:01:03	228/228	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2028%20May%202020%2012:25:21%20GMT	https://diadam.de/wp-content/themes/diadam/dist/images/logo.svg	diadam.de/wp-content/themes/diadam/dist/images/logo.svg	(from https://diadam.de/)
